Index,"Region, subregion, country or area",Note,"Country
code",Urban,Rural,Total,"Percentage urban"
170,Malta,,470,408.809,23.28,432.089,94.61222109333957
171,Montenegro,,499,420.403,208.816,629.219,66.81346240339214
172,Portugal,,620,6710.993,3580.203,10291.196,65.21101143151876
173,"San Marino",,674,32.626,0.931,33.557,97.22561611586255
174,Serbia,19,688,4914.777,3847.25,8762.027,56.09178104564161
175,Slovenia,,705,1135.133,946.127,2081.26,54.54066286768592
176,Spain,20,724,37267.072,9130.38,46397.452,80.32137626867959
177,"TFYR Macedonia",21,807,1208.563,876.488,2085.051,57.963234472442174
178,"Western Europe",,926,154986.76599999997,39086.16699999999,194072.93299999996,79.86006271157864
179,Austria,,40,5102.072,3649.748,8751.82,58.29726845387589
180,Belgium,,56,11268.675,229.844,11498.519,98.00109909806645
181,France,,250,52476.365,12756.906,65233.271,80.44417242238244
182,Germany,,276,63622.346,18671.111,82293.457,77.31154859614173
183,Liechtenstein,,438,5.47,32.685,38.155,14.336259992137334
184,Luxembourg,,442,537.082,53.239,590.321,90.98134743639477
185,Monaco,,492,38.897,0,38.897,100
186,Netherlands,,528,15630.587,1453.872,17084.459,91.49009049686619
187,Switzerland,,756,6305.272,2238.762,8544.034,73.79736550673839
188,"LATIN AMERICA AND THE CARIBBEAN",,904,526057.192,125954.80899999989,652012.0009999999,80.6821333339231
189,Caribbean,,915,31492.817999999996,12662.505000000001,44155.323,71.32281197444756
190,Anguilla,,660,15.045,0,15.045,100
191,"Antigua and Barbuda",,28,25.35,77.7,103.05,24.599708879184863
192,Aruba,,533,45.872,59.798,105.67,43.410617961578495
193,Bahamas,,44,331.506,67.779,399.285,83.02490702130056
194,Barbados,,52,89.201,197.187,286.388,31.146905596603208
195,"British Virgin Islands",,92,15.137,16.582,31.719,47.72218544090293
196,"Caribbean Netherlands",22,535,19.25,6.452,25.702,74.89689518325422
197,"Cayman Islands",,136,62.348,0,62.348,100
198,Cuba,,192,8850.817,2638.265,11489.082,77.03676412092801
199,Curaçao,,531,144.037,17.54,161.577,89.1444945753418
200,Dominica,,212,52.375,21.933,74.308,70.48366259352963
201,"Dominican Republic",,214,8823.303,2059.693,10882.996,81.07420971210502
202,Grenada,,308,39.297,69.042,108.339,36.27225652812007
203,Guadeloupe,23,312,442.318,6.855,449.173,98.47386196409846
204,Haiti,,332,6143.008,4969.937,11112.945,55.27794837462076
205,Jamaica,,388,1613.815,1284.862,2898.677,55.67419205382318
206,Martinique,,474,342.898,42.167,385.065,89.04938127329153
207,Montserrat,,500,0.472,4.731,5.203,9.071689409955793
208,"Puerto Rico",,630,3424.04,234.967,3659.007,93.57839435672027
209,"Saint Kitts and Nevis",,659,17.188,38.662,55.85,30.77529095792301
210,"Saint Lucia",,662,33.557,146.11,179.667,18.677330839831466
211,"Saint Vincent and the Grenadines",,670,57.522,52.678,110.2,52.1978221415608
212,"Sint Maarten (Dutch part)",,534,40.552,0,40.552,100
213,"Trinidad and Tobago",,780,730.005,642.593,1372.598,53.18418065595316
214,"Turks and Caicos Islands",,796,33.481,2.482,35.963,93.09846230848372
215,"United States Virgin Islands",,850,100.424,4.49,104.914,95.72030424919458
216,"Central America",,916,134211.64500000002,45404.51799999998,179616.163,74.7213629098624
217,Belize,,84,174.871,207.573,382.444,45.724602817667424
218,"Costa Rica",,188,3929.845,1023.354,4953.199,79.33953390526001
219,"El Salvador",,222,4617.807,1793.751,6411.558,72.02316504038487
220,Guatemala,,320,8804.376,8440.97,17245.346,51.05363499230459
221,Honduras,,340,5376.802,4040.365,9417.167,57.09574864712498
222,Mexico,,484,104811.498,25947.576,130759.074,80.15619474331855
223,Nicaragua,,558,3677.985,2606.772,6284.757,58.522310409137546
224,Panama,,591,2818.461,1344.157,4162.618,67.7088553405573
225,"South America",,931,360352.729,67887.7859999999,428240.5149999999,84.1472762099588
226,Argentina,,32,41055.867,3632.997,44688.864,91.87046464192959
227,"Bolivia (Plurinational State of)",,68,7786.488,3429.186,11215.674,69.42505639875053
228,Brazil,,76,182546.459,28321.495,210867.954,86.56908531487909
229,Chile,,152,15934.214,2262.995,18197.209,87.56405446571505
230,Colombia,,170,39956.413,9508.27,49464.683,80.77765908254179
231,Ecuador,,218,10762.37,6101.055,16863.425,63.82078373758594
232,"Falkland Islands (Malvinas)",24,238,2.269,0.653,2.922,77.65229295003422
233,"French Guiana",,254,247.195,42.568,289.763,85.30937352249943
234,Guyana,,328,208.123,574.102,782.225,26.606539039278974
235,Paraguay,,600,4247.433,2649.475,6896.908,61.584597039716925
236,Peru,,604,25360.1,7191.715,32551.815,77.90686940190585
237,Suriname,,740,375.417,192.884,568.301,66.05953535186458
238,Uruguay,,858,3307.662,161.889,3469.551,95.33400719574377
239,"Venezuela (Bolivarian Republic of)",,862,28562.719,3818.502,32381.221,88.2076651772952
240,"NORTHERN AMERICA",,905,298987.11,64857.380000000005,363844.49,82.17442292447524
241,Bermuda,,60,61.07,0,61.07,100
242,Canada,,124,30084.496,6869.269,36953.765,81.41117961863968
243,Greenland,,304,49.107,7.458,56.565,86.81516839034738
244,"Saint Pierre and Miquelon",,666,5.723,0.619,6.342,90.23967202775151
245,"United States of America",,840,268786.714,57980.034,326766.748,82.25644611795076
246,OCEANIA,,909,28129.029,13132.183,41261.212,68.17305560486201
247,"Australia/New Zealand",,927,25417.23,4104.615000000002,29521.845,86.09634662061264
248,Australia,25,36,21307.04,3465.207,24772.247,86.01173724773534
249,"New Zealand",,554,4110.19,639.408,4749.598,86.53763960655195
250,Melanesia,,928,2038.813,8476.993,10515.806,19.388081141854464
251,Fiji,,242,513.116,399.125,912.241,56.2478555557139
252,"New Caledonia",,540,197.787,82.034,279.821,70.68340117432214
253,"Papua New Guinea",,598,1108.588,7309.758,8418.346,13.168715089638749
254,"Solomon Islands",,90,148.021,475.26,623.281,23.748678364975024
255,Vanuatu,,548,71.301,210.816,282.117,25.273556715830665
256,Micronesia,,954,365.586,166.41000000000008,531.9960000000001,68.71968962172646
257,Guam,,316,157.067,8.651,165.718,94.7796859725558
258,Kiribati,,296,64.011,54.403,118.414,54.056952725184516
259,"Marshall Islands",,584,40.955,12.212,53.167,77.03086501025072
260,"Micronesia (Fed. States of)",,583,24.117,82.11,106.227,22.703267530853736
261,Nauru,,520,11.312,0,11.312,100
262,"Northern Mariana Islands",,580,50.568,4.626,55.194,91.61865420154363
263,Palau,,585,17.556,4.408,21.964,79.93079584775089
264,Polynesia,,957,307.4,384.16499999999996,691.5649999999999,44.449907094777785
265,"American Samoa",,16,48.526,7.153,55.679,87.15314571023187
266,"Cook Islands",,184,13.067,4.344,17.411,75.05025558554937
267,"French Polynesia",,258,176.757,109.102,285.859,61.8336312657639
268,Niue,,570,0.727,0.897,1.624,44.76600985221674
269,Samoa,,882,36.066,161.629,197.695,18.243253496547716
270,Tokelau,,772,0,1.319,1.319,0
271,Tonga,,776,25.215,83.793,109.008,23.131329810656098
272,Tuvalu,,798,7.042,4.245,11.287,62.3903605918313
273,"Wallis and Futuna Islands",,876,0,11.683,11.683,0
